Date,Open,High,Low,Close,Adj Close,Volume
2022-10-12,4.700000,4.700000,4.520000,4.590000,4.569406,5517300
2022-10-13,4.420000,4.630000,4.380000,4.580000,4.559451,6710700
2022-10-14,4.520000,4.560000,4.430000,4.440000,4.420079,6049900
2022-10-17,4.490000,4.690000,4.490000,4.630000,4.609227,7309500
2022-10-18,4.620000,4.630000,4.550000,4.580000,4.559451,3984400
2022-10-19,4.520000,4.580000,4.500000,4.520000,4.499720,2904700
2022-10-20,4.560000,4.680000,4.560000,4.560000,4.539541,3428400
2022-10-21,4.580000,4.670000,4.550000,4.650000,4.629137,2763500
2022-10-24,4.680000,4.680000,4.590000,4.640000,4.619181,1912300
2022-10-25,4.610000,4.710000,4.610000,4.700000,4.678912,2410100
2022-10-26,4.680000,4.740000,4.640000,4.720000,4.698822,1597000
2022-10-27,4.670000,4.710000,4.640000,4.680000,4.659002,3289400
2022-10-28,4.670000,4.740000,4.640000,4.740000,4.718733,1694300
2022-10-31,4.700000,4.740000,4.670000,4.700000,4.678912,1302400
2022-11-01,4.790000,4.790000,4.690000,4.730000,4.708777,2758100
2022-11-02,4.730000,4.740000,4.610000,4.630000,4.609227,2743000
2022-11-03,4.590000,4.600000,4.510000,4.580000,4.559451,3617900
2022-11-04,4.630000,4.740000,4.630000,4.720000,4.698822,3120500
2022-11-07,4.730000,4.840000,4.730000,4.820000,4.798374,2252000
2022-11-08,4.830000,4.860000,4.780000,4.840000,4.818285,3243400
2022-11-09,4.780000,4.820000,4.760000,4.770000,4.748599,1844400
2022-11-10,4.870000,4.970000,4.860000,4.970000,4.947701,3678400
2022-11-11,4.980000,5.070000,4.940000,5.050000,5.027342,2567700
2022-11-14,4.920000,5.020000,4.920000,4.990000,4.967611,2713500
2022-11-15,5.030000,5.040000,4.970000,4.990000,4.967611,4361200
2022-11-16,4.960000,5.000000,4.930000,4.980000,4.957656,2678500
2022-11-17,4.920000,4.960000,4.880000,4.940000,4.917835,2484800
2022-11-18,4.920000,4.940000,4.870000,4.910000,4.887970,1201600
2022-11-21,4.830000,4.840000,4.800000,4.830000,4.808329,1260100
2022-11-22,4.830000,4.840000,4.800000,4.830000,4.808329,1978900
2022-11-23,4.810000,4.840000,4.790000,4.810000,4.788419,1771000
2022-11-25,4.900000,5.030000,4.880000,5.000000,4.977566,1730600
2022-11-28,5.000000,5.050000,4.950000,4.950000,4.927791,1754200
2022-11-29,4.990000,5.040000,4.920000,4.950000,4.927791,1823300
2022-11-30,5.000000,5.120000,4.990000,5.120000,5.097028,1800400
2022-12-01,5.130000,5.170000,5.110000,5.150000,5.126894,1442200
2022-12-02,5.090000,5.130000,5.040000,5.110000,5.087073,1307000
2022-12-05,5.080000,5.090000,5.020000,5.040000,5.017387,2064600
2022-12-06,4.990000,5.030000,4.910000,4.920000,4.897925,2698600
2022-12-07,4.880000,4.940000,4.880000,4.900000,4.878015,1223600
2022-12-08,4.930000,4.970000,4.900000,4.930000,4.907880,1290700
2022-12-09,4.780000,4.800000,4.700000,4.710000,4.688868,1472300
2022-12-12,4.750000,4.800000,4.740000,4.800000,4.778464,1217600
2022-12-13,4.900000,4.930000,4.790000,4.830000,4.808329,2574900
2022-12-14,4.800000,4.860000,4.750000,4.810000,4.788419,2733900
2022-12-15,4.730000,4.760000,4.630000,4.640000,4.619181,3031300
2022-12-16,4.580000,4.680000,4.550000,4.580000,4.559451,4257100
2022-12-19,4.600000,4.650000,4.570000,4.580000,4.559451,3126500
2022-12-20,4.610000,4.690000,4.590000,4.650000,4.629137,2593300
2022-12-21,4.650000,4.710000,4.640000,4.680000,4.659002,2087200
2022-12-22,4.620000,4.620000,4.520000,4.570000,4.549496,1400600
2022-12-23,4.520000,4.560000,4.500000,4.530000,4.509676,1443700
2022-12-27,4.570000,4.590000,4.510000,4.580000,4.559451,2444600
2022-12-28,4.620000,4.670000,4.570000,4.570000,4.549496,2747000
2022-12-29,4.620000,4.710000,4.620000,4.650000,4.629137,2579400
2022-12-30,4.660000,4.660000,4.600000,4.660000,4.639091,1802900
2023-01-03,4.690000,4.750000,4.670000,4.710000,4.688868,3257500
2023-01-04,4.660000,4.710000,4.640000,4.690000,4.668957,2332400
2023-01-05,4.620000,4.640000,4.580000,4.600000,4.579361,1980400
2023-01-06,4.570000,4.670000,4.550000,4.660000,4.639091,2973400
2023-01-09,4.730000,4.790000,4.730000,4.740000,4.718733,2202100
2023-01-10,4.750000,4.780000,4.720000,4.730000,4.708777,2361000
2023-01-11,4.770000,4.820000,4.760000,4.790000,4.768508,2799100
2023-01-12,4.810000,4.870000,4.790000,4.840000,4.818285,2420400
2023-01-13,4.800000,4.830000,4.750000,4.790000,4.768508,1971000
2023-01-17,4.790000,4.890000,4.790000,4.890000,4.868060,5691800
2023-01-18,4.970000,5.020000,4.950000,4.970000,4.947701,5370800
2023-01-19,4.970000,5.030000,4.950000,5.020000,4.997477,3511500
2023-01-20,5.030000,5.030000,4.980000,5.000000,4.977566,4352600
2023-01-23,5.000000,5.010000,4.970000,4.990000,4.967611,3438800
2023-01-24,4.990000,4.990000,4.920000,4.980000,4.969607,4061100
